,x,y,z,rx,ry,rz
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-15,2.220446049250313e-15
0.05,-0.0005490625017845474,5.403180441829192e-05,-0.01695014491306268,-0.001637182840443785,-5.992537223109551e-05,0.002245826057101219
0.1,-0.0016471875053536422,0.00016209541325473698,-0.050850434739190264,-0.004911598945822604,-0.00017871687845727457,0.006737520409205722
0.15000000000000002,-0.002745312508922737,0.0002701590220914596,-0.08475072456531785,-0.008186164836994081,-0.00029433059206551704,0.011229340229861329
0.2,-0.003843437512491832,0.00037822263092776587,-0.1186510143914421,-0.011460975411914376,-0.0004046477279573413,0.015721365013545707
0.25,-0.004941562516058706,0.0004862862397643497,-0.15255130421756968,-0.01473611812769171,-0.0005075491274852961,0.02021366802609892
0.30000000000000004,-0.006039687519627801,0.0005943498486010723,-0.18645159404369727,-0.018011670020907644,-0.000600915131518942,0.024706313809426117
0.35000000000000003,-0.007076805578556389,0.0006964099236131394,-0.21846853443503678,-0.021105743361005125,-0.0006769175194121235,0.028949784138350143
0.4,-0.007320833357127299,0.0007204240589100963,-0.22600193217417908,-0.021834791343007254,-0.0006693876937768906,0.02994911121785737
0.45,-0.007320833357122858,0.0007204240589103739,-0.22600193217417686,-0.02183601830141768,-0.0006379900592690113,0.029950139100933804
0.5,-0.007320833357127299,0.0007204240589100963,-0.22600193217417686,-0.021837186400741615,-0.0006065899422758037,0.02995111769801051
0.55,-0.007320833357127299,0.0007204240589103739,-0.22600193217417797,-0.021838295625240534,-0.0005751874647719202,0.029952046992485215
0.6000000000000001,-0.007320833357122858,0.0007204240589100963,-0.22600193217417686,-0.021839345959966394,-0.0005437827487575486,0.029952926968609406
0.65,-0.007320833357127299,0.0007204240589102351,-0.22600193217417797,-0.021840337390761633,-0.0005123759162628527,0.029953757611428378
0.7000000000000001,-0.007076805578554168,0.0006964099236131394,-0.2184685344350379,-0.021113213172663237,-0.00046544090428146667,0.02895604221039516
0.75,-0.0060396875196300215,0.0005943498486009335,-0.18645159404369616,-0.018019684521926038,-0.0003740153740827701,0.024713028185013863
0.8,-0.004941562516060927,0.0004862862397644885,-0.15255130421756857,-0.01474379836693629,-0.00029011024707426003,0.020220102337933366
0.8500000000000001,-0.003843437512491832,0.00037822263092790465,-0.11865101439144377,-0.011467647605130082,-0.0002157461613661038,0.015726954788654046
0.9,-0.0027453125089205166,0.0002701590220913208,-0.08475072456531563,-0.008191304963860446,-0.00014880328954247624,0.011233646469686054
0.9500000000000001,-0.0016471875053536422,0.00016209541325473698,-0.05085043473919193,-0.004914832727145324,-8.716148981013916e-05,0.0067402295655660804
1.0,-0.0005490625017845474,5.403180441829192e-05,-0.01695014491306268,-0.0016382857179397803,-2.8700412109117224e-05,0.0022467500107803406
