,q0,q1,q2,q3,q4,q5,q6
0.0,-0.9674057704985942,-1.2894484205234855,-1.715245340199055,-1.322380023109199,-1.25913056819787,1.5043631647677307,-0.7109927518795888
0.05,-0.9674040366579594,-1.2893401847035164,-1.7152659562035861,-1.3223037375922235,-1.2590624712249199,1.5043540211829207,-0.7110159620987015
0.1,-0.9673950660726168,-1.2892711041636822,-1.7152857751531232,-1.3222577211666118,-1.2589972155615068,1.5043329790867332,-0.7110399849753053
0.15000000000000002,-0.9673808265752055,-1.2892279240231261,-1.715280790141449,-1.3222342788964696,-1.2589339413938434,1.5042898797760995,-0.7110548002750164
0.2,-0.9673505610414017,-1.2891806563463415,-1.7152303083463905,-1.3222122210517526,-1.258857050405442,1.5042151852332613,-0.7110582035079444
0.25,-0.9672913064319111,-1.2891336761288228,-1.7151100192148188,-1.322194462141499,-1.258768057888238,1.5041020944307013,-0.7110440825920256
0.30000000000000004,-0.9672032376331433,-1.2890831661355322,-1.714897760039029,-1.3221719415711173,-1.258647243455906,1.5039450408435437,-0.7110084297932882
0.35000000000000003,-0.9670654753576522,-1.289029512484061,-1.7145687785544637,-1.3221488591166326,-1.2585017917303762,1.5037349558330497,-0.7109436004901079
0.4,-0.9668661382854438,-1.2889822181033497,-1.7141004821516088,-1.3221290214327202,-1.2583141664018933,1.5034643378995758,-0.7108393609352481
0.45,-0.9665985014641115,-1.288953559767252,-1.7134646321892413,-1.322094379299882,-1.2581032986228413,1.5031279336092733,-0.7106899170678019
0.5,-0.9662581025324074,-1.2889494770602874,-1.7126365113108688,-1.3220610658861607,-1.257848758700049,1.5027249497077821,-0.7104848349805176
0.55,-0.9658415466355744,-1.2889649009560245,-1.7115855159263536,-1.322015332108468,-1.2575777682002482,1.5022574304745322,-0.7102199039729296
0.6000000000000001,-0.965330059913308,-1.2889618260128368,-1.7102883277374825,-1.321945204625976,-1.2572823388197676,1.5017204857699156,-0.7098939514825987
0.65,-0.9646806364882419,-1.288968827881518,-1.7087278783816489,-1.321870415648182,-1.2569370396335522,1.5010956147930403,-0.7094906687108092
0.7000000000000001,-0.963897139992486,-1.2889836178523864,-1.7068895776179636,-1.3217804254846242,-1.2565127957066997,1.5003846983711107,-0.7090012059955462
0.75,-0.9629468871198734,-1.288860183461613,-1.7047802208202683,-1.3216338717564204,-1.2559585604148944,1.4995684767576458,-0.7084374581716166
0.8,-0.961867980142708,-1.2886510127362307,-1.7023804217687737,-1.321429160253405,-1.2553215190698153,1.4986617569651353,-0.7078056126248137
0.8500000000000001,-0.9606197388272572,-1.2884178739301404,-1.6996724916100159,-1.321170736912398,-1.2546104567321625,1.497623652594263,-0.7070950800975769
0.9,-0.959103522966743,-1.2881707575251056,-1.6966596476952802,-1.3209275415376023,-1.2537396472730575,1.4964250906230732,-0.7062684711486102
0.9500000000000001,-0.9574284351847798,-1.28785875742948,-1.6933235731501273,-1.320632082035618,-1.2527593626228435,1.4950943861126362,-0.7053404908017692
1.0,-0.9555602355069744,-1.2875056949860353,-1.689646923006831,-1.3202903987825838,-1.2516717388629928,1.4936211628729534,-0.7043080514692105
1.05,-0.9533202873715771,-1.287081584330868,-1.6856399139144973,-1.3199684268164482,-1.2504080358218193,1.4919533998026107,-0.7031325114704767
1.1,-0.9508546048090296,-1.2864951194041194,-1.6812880662384575,-1.3195675515767016,-1.2490207334966767,1.4901409224955349,-0.7018423370660585
1.1500000000000001,-0.9482354121097013,-1.2857804051299984,-1.6765778003358707,-1.3190522867972434,-1.2474954331228727,1.4881762978933177,-0.7004627458021601
1.2000000000000002,-0.9454088476605444,-1.2849375976456867,-1.6715080979747787,-1.3184376792591588,-1.2457928026940026,1.4860385823245077,-0.6989930646988772
1.25,-0.9423566822422702,-1.2839923266806699,-1.6660730031898885,-1.3177417877502287,-1.2439173512544406,1.4837160499213746,-0.6974233661838629
1.3,-0.9390532240226561,-1.2829317902146646,-1.6602670563910475,-1.3169703379234488,-1.2418651246160648,1.4812039780280475,-0.6957433147446122
1.35,-0.9354865948777729,-1.2817653082774911,-1.6540842056901464,-1.3161277925708819,-1.2396364279726453,1.47848927747248,-0.6939428074047211
1.4000000000000001,-0.9316456522167161,-1.2804869161304258,-1.6475195247009344,-1.3152149439557552,-1.2372259651651512,1.475564853861874,-0.6920136509443506
1.4500000000000002,-0.9275166539320051,-1.2790946721822618,-1.6405684616992118,-1.3142326719530546,-1.2346329628061423,1.4724216287069007,-0.6899480319368655
1.5,-0.9230934116778317,-1.277590651455831,-1.6332254647772542,-1.313183144917128,-1.2318600317109079,1.469053209793735,-0.6877387576602259
1.55,-0.9183603242442304,-1.2759586947831416,-1.6254887903993336,-1.3120598642680261,-1.2288945088189145,1.4654560572855404,-0.6853800113096803
1.6,-0.9133109417297891,-1.2742081826649174,-1.6173546853927996,-1.3108670081857126,-1.2257448377336517,1.4616185416831349,-0.6828649559946658
1.6500000000000001,-0.9079322150183307,-1.272332100001327,-1.608820048666553,-1.30960643582706,-1.222409433560029,1.4575387334614598,-0.6801862378329964
1.7000000000000002,-0.9022196484399142,-1.2703235273294518,-1.5998843144099937,-1.3082674345470588,-1.2188862249182781,1.4532051281817107,-0.6773400078703051
1.75,-0.8961620073909664,-1.268186026115268,-1.5905465803128083,-1.3068554636968954,-1.2151756811364305,1.448612180572889,-0.6743192957559649
1.8,-0.8897462983698994,-1.2659039209957281,-1.5808091154911676,-1.3053655125678965,-1.211273158562358,1.4437514556610354,-0.6711187720027665
1.85,-0.8829674003211236,-1.263490104685791,-1.5706714476166752,-1.3038039199516698,-1.2071857544034312,1.4386173483796467,-0.6677307826463109
1.9000000000000001,-0.8758107414807768,-1.260921358960706,-1.5601357084403078,-1.30216487715338,-1.2029141567896577,1.4332057722841536,-0.6641499668275669
1.9500000000000002,-0.868268985913089,-1.258207038952179,-1.5492043184533504,-1.3004480717467795,-1.1984620795905285,1.4275046372811353,-0.6603698149145006
2.0,-0.8603364549505652,-1.2553361228411914,-1.5378818439196666,-1.2986549232574913,-1.1938260360761992,1.421508566525338,-0.656384466205762
2.0500000000000003,-0.8520000814790708,-1.252304841669364,-1.5261735869460558,-1.2967808926210476,-1.1890120633133685,1.415206328758188,-0.652188174876494
2.1,-0.843250283828686,-1.2491088818758727,-1.514085378892367,-1.2948287499308804,-1.1840213278213607,1.4085930550620216,-0.6477741126672011
2.15,-0.8340773610187958,-1.2457392313514224,-1.5016233771555543,-1.292796791492468,-1.178862864266304,1.4016599303996253,-0.6431363530647549
2.2,-0.8244763742966563,-1.2421972793515652,-1.4887936862334277,-1.2906874882591401,-1.173542177076265,1.3944007297694558,-0.6382682795787535
2.25,-0.8144375007647768,-1.238469914671943,-1.4756071415761418,-1.2884955227448045,-1.1680542728056154,1.3868030345506446,-0.6331646776030686
2.3000000000000003,-0.8039517816737681,-1.2345501461790933,-1.4620731840398227,-1.2862242497699643,-1.16240948188692,1.3788619416902281,-0.6278193587098256
2.35,-0.7930087397772664,-1.2304379349433576,-1.4482013453817197,-1.2838763515880418,-1.1566178039991017,1.3705672491599405,-0.6222251405051025
2.4000000000000004,-0.7816036247066602,-1.2261205821536527,-1.434003345455766,-1.2814455655344252,-1.1506833046720684,1.361910557150884,-0.6163771799515729
2.45,-0.7697306291672993,-1.2215859521987773,-1.4194932079558091,-1.2789286465656964,-1.1446068481854423,1.3528841192300805,-0.6102710943602396
2.5,-0.7573789487347193,-1.2168365375434123,-1.4046838730843192,-1.2763347433905758,-1.1384024200073952,1.3434766615567597,-0.6038996203352669
2.5500000000000003,-0.744543827834045,-1.2118602343054115,-1.3895888993454204,-1.2736587004703455,-1.1320817138458885,1.333680539831372,-0.5972575879102466
2.6,-0.7312182104393299,-1.206641655771176,-1.3742250253799322,-1.270898421461698,-1.1256433309639258,1.323491057490647,-0.5903398634882044
2.6500000000000004,-0.7173962205028279,-1.2011843994608882,-1.3586083618757758,-1.2680606635178848,-1.1191027080144889,1.312893646256373,-0.5831400155905151
