,q0,q1,q2,q3,q4,q5,q6
0.0,-1.6883131248905626e-15,3.0886292132360277e-15,3.769950312917225e-16,5.547591308944581e-15,2.1053331087640518e-16,-2.493179041454973e-15,2.1837688001410043e-16
0.05,-0.0014034180346893014,0.008599159334444365,0.0005655834166480591,-0.0013624639120721651,-0.0009856551410831111,-0.004363263953667491,0.0014630680179827276
0.1,-0.0020960320579764347,0.01327330460869235,0.0008498086613330995,-0.0037172269355949363,-0.001584221741252224,-0.0053549938859318216,0.0017096790435731147
0.15000000000000002,-0.0017272907835571886,0.013345911641677987,0.0009669114032362547,-0.005548247651617781,-0.0018423028140534797,-0.004181191302923239,0.0009414907622302226
0.2,-0.0013786709100627572,0.012983980577647294,0.0008307499762465883,-0.006882226039215024,-0.0024034625838605895,-0.003544873379455034,0.00018742271732741667
0.25,-0.0013673782762444854,0.013235287668660863,0.0005243586256583753,-0.008218283488041845,-0.003305473064007393,-0.003899007990065557,-0.00045137951035317575
0.30000000000000004,-0.0012947860255042454,0.013935782570356025,0.00021433697095925514,-0.009752589557159491,-0.004536245535694531,-0.004729613280100135,-0.001184690108093485
0.35000000000000003,-0.00120435798342615,0.014859126421453595,-0.00011081842713014456,-0.011639347750024067,-0.006047886148467096,-0.0060816422991087915,-0.0020422876934402642
0.4,-0.001304524648031451,0.016125343042691313,-0.0005731753582385538,-0.014013378202666725,-0.007829495775471195,-0.007699876080622909,-0.0030048072855779393
0.45,-0.0012790198025711373,0.01789573207985541,-0.0010341780494803332,-0.016892796432959985,-0.009971682698057035,-0.009568745111964278,-0.0041272582684246
0.5,-0.0011474486503826528,0.01973648080200149,-0.0014966704937506283,-0.02022543105340086,-0.012335025767258194,-0.011547847963467294,-0.005449492978716613
0.55,-0.0011581974665050305,0.022387713674183317,-0.0020554913293987283,-0.024124359528558535,-0.015078681250521498,-0.013956389248897735,-0.006818687145523063
0.6000000000000001,-0.001009880648758385,0.02530778699999764,-0.0025100358607704036,-0.02861383612735098,-0.017983813517975546,-0.01647473389898069,-0.008367331227991612
